date, pm25, pm10, o3, no2, co
2025/11/1, 241, , , , 
2025/10/13, 154, 131, 73, 8, 
2025/10/14, 159, 130, 80, 7, 
2025/10/15, 159, 172, 69, 8, 
2025/10/16, 181, 169, 71, 8, 
2025/10/17, 185, 143, 59, 8, 
2025/10/18, 182, 175, 67, 8, 
2025/10/19, 213, 290, 38, 8, 
2025/10/20, 314, 275, 47, 8, 
2025/10/21, 339, 173, 43, 6, 
2025/10/22, 258, 158, 56, 8, 
2025/10/23, 216, 169, 54, 6, 
2025/10/24, 205, 206, 58, 8, 
2025/10/25, 224, 191, 73, 13, 
2025/10/26, 243, 161, 60, 8, 
2025/10/27, 218, 127, 38, 6, 
2025/10/28, 200, 160, 45, 8, 
2025/10/29, 220, 214, 27, 8, 
2025/10/30, 270, 104, 46, 6, 
2025/10/31, 170, 188, 47, 6, 
2018/4/1, 182, , 63, 20, 
2018/4/2, 194, , 67, 22, 
2018/4/3, 208, , 33, 22, 
2018/4/4, 184, , 51, 22, 
2018/4/5, 223, , 32, 21, 
2018/4/6, 178, , 31, 17, 
2018/4/7, 146, , 31, 16, 
2018/4/8, 137, , 44, 15, 
2018/4/9, 136, , 55, 19, 
2018/4/10, 181, , 38, 16, 
2018/4/11, 133, , 35, 16, 
2018/4/12, 144, , 33, 17, 
2018/4/13, 157, , 28, 19, 
2018/4/14, 173, , 31, 20, 
2018/4/15, 183, , 27, 19, 
2018/4/16, 173, , , , 
2018/4/18, 160, , 27, 19, 
2018/4/19, 181, , 15, 17, 
2018/4/20, 160, , , , 
2018/1/1, 199, 164, 29, 34, 
2018/1/2, 226, 139, 18, 31, 
2018/1/3, 205, 199, 25, 35, 
2018/1/4, 248, 206, 26, 34, 
2018/1/5, 253, 198, 25, 34, 
2018/1/6, 249, 123, 17, 28, 
2018/1/7, 190, 104, 14, 26, 
2018/1/8, 175, 144, 19, 31, 
2018/1/9, 210, 128, 17, 29, 
2018/1/10, 194, 105, 12, 26, 
2018/1/11, 175, 110, 14, 27, 
2018/1/12, 179, 193, 26, 33, 
2018/1/13, 243, 122, 15, 30, 
2018/1/14, 188, 122, 16, 28, 
2018/1/15, 189, 91, 12, 23, 
2018/1/16, 165, 199, 25, 35, 
2018/1/17, 247, 230, 26, 36, 
2018/1/18, 274, 157, 21, 32, 
2018/1/19, 219, 104, 14, 26, 
2018/1/20, 175, 121, 17, 29, 
2018/1/21, 189, 134, 17, 30, 
2018/1/22, 198, 110, 17, 28, 
2018/1/23, 174, 87, 9, 23, 
2018/1/24, 164, 74, 8, 20, 
2018/1/25, 148, 86, 11, 23, 
2018/1/26, 158, 116, 15, 28, 
2018/1/27, 185, 97, 14, 24, 
2018/1/28, 166, 123, 16, 28, 
2018/1/29, 189, 92, 12, 24, 
2018/1/30, 164, 83, 10, 22, 
2018/1/31, 159, 115, 16, 26, 
2018/2/1, 182, 85, 11, 17, 
2018/2/2, 161, 76, 10, 16, 
2018/2/3, 149, 84, 11, 17, 
2018/2/4, 160, 107, 15, 19, 
2018/2/5, 174, 86, 11, 18, 
2018/2/6, 162, 90, 12, 18, 
2018/2/7, 164, 125, 17, 20, 
2018/2/8, 192, 116, 16, 20, 
2018/2/9, 186, 115, 15, 20, 
2018/2/10, 184, 98, 13, 19, 
2018/2/11, 170, 55, 9, 14, 
2018/2/12, 111, 72, 11, 15, 
2018/2/13, 137, 54, 8, 13, 
2018/2/14, 110, 66, 8, 15, 
2018/2/15, 140, 70, 10, 15, 
2018/2/16, 139, 75, 9, 16, 
2018/2/17, 151, 87, 13, 17, 
2018/2/18, 155, 158, 23, 21, 
2018/2/19, 219, 138, 20, 20, 
2018/2/20, 202, 130, 17, 21, 
2018/2/21, 195, 105, 16, 19, 
2018/2/22, 174, 110, 15, 19, 
2018/2/23, 179, 130, 16, 23, 
2018/2/24, 197, 143, 13, 26, 
2018/2/25, 204, 81, 12, 17, 
2018/2/26, 150, 89, 12, 18, 
2018/2/27, 162, 109, 15, 20, 
2018/2/28, 177, 112, 16, 20, 
2018/3/1, 178, 117, 17, 19, 
2018/3/2, 185, 94, 13, 18, 
2018/3/3, 167, 89, 12, 18, 
2018/3/4, 164, 84, 11, 17, 
2018/3/5, 159, 81, 10, 17, 
2018/3/6, 159, 88, 12, 18, 
2018/3/7, 161, 119, 17, 20, 
2018/3/8, 189, 127, 20, 20, 
2018/3/9, 198, 82, 12, 19, 
2018/3/10, 147, 82, 11, 19, 
2018/3/11, 151, 92, 12, 18, 
2018/3/12, 166, 104, 15, 19, 
2018/3/13, 175, 144, 20, 21, 
2018/3/14, 208, 181, 22, 22, 
2018/3/15, 238, 89, 10, 18, 
2018/3/16, 165, 90, 12, 19, 
2018/3/17, 159, 91, 14, 17, 
2018/3/18, 158, 91, 12, 18, 
2018/3/19, 166, 112, 42, 19, 
2018/3/20, 183, 171, 65, 22, 
2018/3/21, 228, , 25, 18, 
2018/3/22, 166, , 24, 18, 
2018/3/23, 164, , 26, 18, 
2018/3/24, 168, , 37, 18, 
2018/3/25, 168, , 33, 18, 
2018/3/26, 155, , 37, 19, 
2018/3/27, 188, , 40, 20, 
2018/3/28, 196, , 36, 19, 
2018/3/29, 174, , 39, 19, 
2018/3/30, 157, , 52, 20, 
2018/3/31, 190, , 43, 20, 
2017/11/13, 300, 182, 22, 16, 
2017/11/14, 241, 156, 20, 15, 
2017/11/15, 212, 131, 18, 14, 
2017/11/16, 185, 120, 20, 14, 
2017/11/17, 176, 112, 17, 14, 
2017/11/18, 170, 122, 17, 15, 
2017/11/19, 178, 130, 25, 17, 
2017/11/20, 187, 135, 24, 17, 
2017/11/21, 189, 139, 25, 16, 
2017/11/22, 199, 131, 24, 16, 
2017/11/23, 185, 126, 31, 18, 
2017/11/24, 179, 122, 23, 16, 
2017/11/25, 177, 158, 26, 15, 
2017/11/26, 215, 134, 179, 29, 
2017/11/27, 188, 131, 10, 10, 
2017/11/28, 183, 147, 9, 10, 
2017/11/29, 199, 143, 34, 10, 
2017/11/30, 194, 128, 10, 12, 
2017/12/1, 184, 164, 10, 10, 
2017/12/2, 220, 179, 10, 12, 
2017/12/3, 251, 198, 9, 10, 
2017/12/4, 245, 162, 10, 10, 
2017/12/5, 220, 108, 10, 10, 
2017/12/6, 164, 95, 11, 11, 
2017/12/7, 149, 102, 44, 27, 
2017/12/8, 159, 140, 44, 33, 
2017/12/9, 198, 158, 46, 33, 
2017/12/10, 219, , , , 
2017/12/18, 157, 101, 13, 29, 
2017/12/19, 175, 149, 16, 32, 
2017/12/20, 210, 144, 16, 29, 
2017/12/21, 205, 92, 13, 23, 
2017/12/22, 160, 74, 9, 21, 
2017/12/23, 153, 129, 17, 29, 
2017/12/24, 194, 121, 10, 51, 
2017/12/25, 186, 150, 18, 45, 
2017/12/26, 210, 147, 19, 32, 
2017/12/27, 213, 152, 20, 31, 
2017/12/28, 215, 126, 15, 32, 
2017/12/29, 189, 171, 19, 34, 
2017/12/30, 233, , , , 
2025/10/12, , 126, 58, 8, 
2017/12/31, , 133, 17, 30, 
2017/11/12, , 246, 25, 17, 
2017/12/17, , 80, 11, 21, 
2018/4/17, , , 11, 17, 